text,class
The human rights of women include their right to have control over and decide freely and responsibly on matters related to their sexuality,1
Control over reproduction is a basic need and a basic right for all women,1
Programs that do not take the interests of women into account are unlikely to succeed,1
the policies' narrow focus led to coercion and decreased quality of care,1
China's gender imbalance is further increased by the One Child Policy,1
rapid population growth damages the Earth's resources and diminishes human well-being,1
overpopulation as a serious threat to the quality of human life,1
The use of drugs to enhance performance is considered unethical by most international sports organizations,1
"it is little different from the use of new materials in the construction of suits and sporting equipment, which similarly aid performance and can give competitors an unfair advantage over others",1
The use of anabolic steroids is now banned by all major sporting bodies,1
"drug testing can be wildly inconsistent and, in some instances, has gone unenforced",1
"there is little danger from anabolica, as they call it, when the athletes are kept on strictly monitored programmes",1
the extremely dangerous side-effects are admitted,1
"Often, doping was carried out without the knowledge of the athletes, some of them as young as ten years of age",1
"around 10,000 former athletes bear the physical and mental scars of years of drug abuse",1
the pursuit of doping athletes has turned into a modern day witch-hunt,1
Many sports organizations have banned the use of performance enhancing drugs and have very strict rules and consequences for people who are caught using them,1
"as outright prevention of doping is an impossibility, all doping should be legalised",1
harmful long-term effects of many doping agents,1
"with no medical data to support these claimed health problems, it is, at best, questionable",1
"with doping legal, all competitive athletes would be compelled to use drugs, and the net effect would be a level playing field but with widespread health consequences",1
"doping could be legalized to some extent using a drug whitelist and medical counseling, such that medical safety is ensured, with all usage published",1
"legalizing performance-enhancing substances, as well as genetic and cyborg enhancements once they became available, would satisfy society's need for übermenschen and reverse the decline in public interest in sports",1
some athletes point to the already dangerous environment in sports like football and martial arts and wonder if there is a double standard where health concerns brought by the aggressive nature of these sports is viewed acceptable but not PEDs,1
"The use of performance-enhancing substances by players is illegal and ethically ""wrong",1
There is a wide range of health concerns for users,1
Health risks can be produced by long-term use or excessive doses of anabolic steroids,1
Many former athletes suffer from health problems related to steroid consumption,1
the extremely dangerous side-effects are admitted,1
former athletes bear the physical and mental scars of years of drug abuse,1
anybody should be free to put any substance they choose into their own bodies for any reason,1
Substance abuse can be harmful to your health and may even be deadly in certain scenarios,1
"Introducing students to activities like bowling, walking/hiking, or Frisbee at an early age can help students develop good activity habits that will carry over into adulthood",1
"Teaching non-traditional sports to students may also provide the necessary motivation for students to increase their activity, and can help students learn about different cultures",1
Frequent and regular physical exercise boosts the immune system,1
"helps prevent the ""diseases of affluence",1
It also improves mental health,1
physical exercise may help decrease some of the effects of childhood and adult obesity,1
Physical exercise is important for maintaining physical fitness,1
can contribute positively to maintaining a healthy weight,1
strengthening the immune system,1
Frequent and regular aerobic exercise has been shown to help prevent or treat serious and life-threatening chronic conditions,1
Not everyone benefits equally from exercise,1
moderate exercise has a beneficial effect on the human immune system,1
Exercise alone is a potential prevention method and/or treatment for mild forms of depression,1
Too much exercise can be harmful,1
Inappropriate exercise can do more harm than good,1
children who fail to engage in regular physical activity are at greater risk of obesity,1
Physical inactivity as a child could result in physical inactivity as an adult,1
Childhood inactivity is linked to obesity,1
the model of ideal education is that which occurs when people go on their own initiative to discover things,1
Physical inactivity is increasing or high among many groups in the population,1
people die as a result of physical inactivity,1
inactivity one of the leading preventable causes of death worldwide,1
people can improve their health via exercise,1
a lack of physical activity is thought to explain most cases of obesity,1
A sedentary lifestyle plays a significant role in obesity [REF,1
Excess weight has reached epidemic proportions globally,1
Physical fitness can also prevent or treat many chronic health conditions,1
To stay healthy it is important to engage in physical activity,1
P.E. actually increase test scores,1
youth do not get the physical outlet needed not only for their cognitive development but for their physical health,1
many children lead a relatively sedentary lifestyle,1
"school should be made to fit the child, rather than the other way around",1
children learn best with freedom from coercion,1
There are many health related benefits to being physically active,1
countering the effects of a history of discrimination,1
Affirmative action is intended to promote  equal opportunity,1
to ensure that minority groups within a society are included in all programs,1
"it helps to compensate for past discrimination, persecution or exploitation by the ruling class of a culture",1
the principle of equality sometimes requires States parties to take affirmative action in order to diminish or eliminate conditions which cause or help to perpetuate discrimination prohibited by the Covenant,1
"In some countries which have laws on racial equality, affirmative action is rendered illegal because it does not treat all races equally",1
These laws cause disproportionally high costs for small companies and reduce economic growth and employment,1
it is impossible to favor somebody without discriminating against others,1
affirmative action devalues the accomplishments of people who are chosen based on the social group to which they belong rather than their qualifications,1
"affirmative action devalues the accomplishments of all those who belong to groups it is intended to help, therefore making affirmative action counterproductive",1
"affirmative action is ""reverse discrimination",1
affirmative action has undesirable side-effects in addition to failing to achieve its goals,1
It may increase racial tension and benefit the more privileged people within minority groups at the expense of the least fortunate within majority groups,1
affirmative action policies encourage non-preferred groups to designate themselves as members of preferred groups,1
they tend to benefit primarily the most fortunate among the preferred group,1
they reduce the incentives of both the preferred and non-preferred to perform at their best,1
they increase animosity toward preferred groups,1
affirmative action hurts its intended beneficiaries,1
"merit"" itself should be a primary consideration during evaluation",1
attempts at antidiscrimination have been criticized as reverse discrimination,1
affirmative action) discriminate against members of a dominant or majority group,1
each individual's civil rights include the right to be free from government sponsored social discrimination,1
all people should be treated similarly,1
jobs should go to those “most qualified,1
The selection process should not be based on some arbitrary or irrelevant criterion,1
race and sex shouldn't matter when getting a job,1
final selection for posts must be made according to the principle the best person for the job,1
the overall idea is to give children from less fortunate backgrounds more of a chance,1
The idea is to help disadvantaged groups get back to a normal starting position after a long period of discrimination,1
any equalities achieved will entail future inequalities,1
it is an ideal that cannot and should not be realized through the actions of the government,1
discrimination inherent in affirmative action programs,1
identical treatment may sometimes act to preserve inequality rather than eliminate it,1
"affirmative action is racial division, not racial reconciliation",1
redress imbalances and promote equality,1
"affirmative action policies for specific racial groups to guarantee ""the full and equal enjoyment of human rights and fundamental freedoms",1
is intended to ameliorate past discrimination,1
You can't legislate morality,1
it violates the principle of equal treatment just as much as negative discrimination,1
The impetus towards affirmative action is to redress the disadvantages[REF][REF][REF][REF][REF] associated with overt historical discrimination,1
have been criticised as a form of reverse discrimination,1
"aims ""to correct the effects of past and present discrimination",1
no one has a legal right to have any demographic characteristic they possess be considered a favorable point on their behalf,1
Race-conscious affirmative action remains necessary to address race-based obstacles,1
it is often contested on constitutional grounds,1
affirmative action requires the very discrimination it is seeking to eliminate,1
affirmative action counter-productive,1
affirmative action lowers the bar,1
affirmative action has undesirable side-effects,1
it fails to achieve its goals,1
it hinders reconciliation,1
replaces old wrongs with new wrongs,1
undermines the achievements of minorities,1
"encourages groups to identify themselves as disadvantaged, even if they are not",1
It may increase racial tension,1
affirmative action devalues the accomplishments of people who belong to a group it's supposed to help,1
affirmative action counter-productive,1
"it creates ""a cult of victimization",1
reduce the incentives of both the preferred and non-preferred to perform at their best,1
they engender animosity toward preferred groups,1
recognition and rights accorded to specific groups may interfere with the state's need to establish a cohesive identity,1
members of minorities require specific provisions and rights to ensure that they are not marginalised within society,1
These may be considered necessary because the minority group in question is socially disadvantaged,1
programs have at best a negligible impact on the groups they are intended to assist,1
They reduce the incentives of both the preferred and non-preferred to perform at their best,1
direct intervention in the distribution of assets and opportunities was needed to resolve the economic disparities,1
one group is favored at the expense of another whenever a quota is invoked,1
using quotas displaces individuals that would normally be favored based on their individual achievements,1
qualifications should be the only determining factor,1
affirmative action designed to improve the well being of perceived backward and under represented communities,1
the identification of oppressed classes was difficult to carry out,1
Racial prejudice and discrimination no longer exists,1
those that give preference to individuals solely based on their race or gender should not be permitted,1
"social inequality today is due to ""cultural deficits"" of individual people or racial or ethnic groups",1
"there is no need to pay ""systematic attention"" to any current inequities",1
States must take measures to seek to eliminate prejudices,1
Historical racism continues to be reflected in socio-economic inequality,1
Racial stratification continues to occur,1
"have been criticized as a form of ""reverse discrimination",1
Motivation for affirmative action policies is to redress the effects of past discrimination,1
these policies demonstrate an overt preference for applicants from particular backgrounds over better-qualified (or equally-qualified) candidates from other backgrounds,1
the only consideration in choosing between applicants should be merit,1
it perpetuates racial division,1
fatalities are rare in heavyweight matches,1
rule changes have made certain kinds of boxing deaths far rarer,1
boxing remains the 8th most deadly sport,1
The referee intervenes to avoid unnecessary damage or potential injury,1
the typical knock out which results in a sustained loss of consciousness,1
Repeated blows to the head are known to gradually cause permanent brain damage,1
In severe cases may cause strokes or paralysis,1
many physicians advise against sports involving knockouts,1
A referee monitors the fight to ensure that competitors use only legal blows,1
Referees will stop the bout if a boxer is seriously injured,1
boxing commissions and other sanctioning bodies were established to regulate the sport,1
"fighters wear protective headgear, reducing the number of injuries, knockdowns, and knockouts",1
A referee monitors the fight to ensure that competitors use only legal blows,1
"Headgear is not permitted in professional bouts, and boxers are generally allowed to take much more damage before a fight is halted",1
the referee may stop the contest if he believes that one participant cannot defend himself due to injury,1
Knocking a person unconscious or even causing concussion may cause permanent brain damage,1
There is no clear division between the force required to knock a person out and the force likely to kill a person,1
"amateur boxers, professional boxers and Toughman fighters have died as the result of ring or training injuries",1
"boxing an ""obscenity"" that ""should not be sanctioned by any civilized society",1
Medical Associations also have called for bans on boxing,1
boxing is the only sport where hurting the other athlete is the goal,1
It is the only sport where the intention is to inflict serious injury on your opponent,1
protective headgear did not prevent brain damage,1
amateur boxers faced a high risk of brain damage,1
boxing was very brutal,1
a powerpunch can do a lot of damage to a boxer,1
Sports related to combat skills have been a part of human culture for thousands of years,1
medical groups have called for a ban on the sport,1
Contact sports have a higher risk of transmission of blood-borne disease between players,1
full-contact sports are barbaric,1
tend to cause injuries,1
boxing may cause DP,1
state multiculturalism has failed,1
is seen as an essential feature of the nation and the nation-state,1
allows people to truly express who they are within a society,1
promotes respect for the dignity of the lives and voices of the forgotten,1
multiculturalism tries to restore a sense of wholeness in a postmodern era that fragments human life and thought,1
ultimately erodes the host nations' distinct culture,1
"the more racially diverse a community is, the greater the loss of trust",1
the strongest nations are those that are made up of different racial elements,1
multiculturalism helps in bringing together immigrants and minorities in the country,1
official multiculturalism limits the freedom of minority members,1
multiculturalism works better in theory than in practice,1
it perpetuates conflicts between and within groups,1
it hinders equity and equality in society,1
would lead to acceptance of barbaric practices,1
homogeneity and integration are necessary for a society,1
multiculturalism and immigration led to adaptation problems,1
immigrants must always lose their own culture - that is the price of immigration,1
lack of integration threatened society,1
A liberal democracy cannot be multicultural,1
Democracy and the rule of law could only be restored by abolishing multiculturalism,1
the emphasis on group identity and group rights diminished individual liberty for those within the minorities,1
Human beings are equal; cultures are not,1
a multicultural society could never be strong,1
many multicultural societies have failed,1
it is a perilous concept on which to found policy,1
multiculturalism has resulted in political corruption,1
"A community of separate cultures fosters a rights mentality, rather than a responsibilities mentality",1
It is divisive,1
It works against quick and effective integration,1
multiculturalism obscures the social costs associated with large scale immigration,1
many multicultural societies have failed,1
It is divisive,1
It threatens social cohesion,1
official multiculturalism limits the freedom of minority members,1
multiculturalism works better in theory than in practice,1
it perpetuates conflicts between and within groups,1
it hinders equity and equality in society,1
multiculturalism undermined national unity,1
some forms of multiculturalism can divide people,1
multiculturalism to be dangerous to the West,1
it creates friction within society,1
cultural diversity may be vital for the long-term survival of humanity,1
cultural diversity is as necessary for humankind as biodiversity is for nature,1
"it is unethical deliberately to conserve ""less developed"" societies",1
it is in the best interests of individuals and of humanity as a whole that all people adhere to a specific model for society,1
cultural differences within society are valuable and should be preserved,1
each ethnic and national group has the right to maintain and preserve its cultural distinction and integrity,1
one does not need to assimilate or abandon one's heritage in order to blend in,1
assimilation can hurt minority cultures by stripping away their distinctive features,1
"separating citizens by ethnicity or race and providing immigrant groups ""special privileges"" can harm the very groups they are intended to help",1
the multiculturalist policy of freer immigration is unworkable in an era in which the supply of immigrants from third world countries seems limitless,1
Indigenous peoples have the right to the dignity and diversity of their cultures,1
the distinctiveness of people's identity and their rights to preserve their heritage should be acknowledged,1
"diversity is valuable in itself, to preserve human historical heritage and knowledge",1
it makes available more ways of solving problems and responding to catastrophes,1
The greater public good warrants eliminating those cultural characteristics that promote conflict or prevent harmony,1
Multicultural classrooms promote decision-making and critical thinking,1
multiculturalism is a tool for instilling students with pride and confidence in their unique and special backgrounds,1
Multicultural education provides a relatively fairer learning environment for international students,1
multicultural education may cause abandonment of original cultural,1
Diversity is intrinsically valuable to the dominant culture,1
A homogeneous community grounded on consensus may be unable to criticize the injustice and exclusionary practices that undermine it,1
Reform of cultural pathology often comes from the recognition of difference,1
Multiculturalism is a developmental journey through which an individual enhances knowledge and skills about different cultures,1
Multicultural education in public schools would promote acceptance of diversity,1
Citizens in a diverse democratic society should be able to maintain attachments to their cultural communities,1
Unity without diversity results in cultural repression,1
Diversity must be prevalent and valued,1
differences are recognized as a uniting component rather than a separating one,1
there is no rational ground for curtailing the cultural freedoms,1
multinationality in a single state should necessarily comprise the right to express and exercise national identity even by minorities,1
all cultures and civilizations are of equal value,1
should be treated and promoted equally,1
people have the right to maintain an affiliation with one's ethnic group,1
recognition and rights accorded to specific groups may interfere with the state's need to establish a cohesive identity,1
"where members of minorities see that their specific needs and ambitions have been acknowledged and catered for, they will commit themselves more willingly to accepting the legitimacy of the nation",1
the political function of rights is precisely to protect minorities from oppression by majorities,1
Multiculturalism can become a polite and euphemistic way of affirming and persisting unequal power relationships,1
the community is enriched as difference accrues,1
cultural appreciation of ethnic and religious diversity promotes a greater willingness to tolerate political differences,1
Multiculturalism tends to emphasize the rights of ethnic minorities at the expense of the majority,1
it creates friction within society,1
"multiculturalism has shifted from tolerating multiple cultures to tolerating multiple value systems, which can be hostile to liberalism",1
had reached the end of its useful life,1
Multiculturalism could not be allowed to create a society where all values were equal,1
"the diversity of cultural expressions is a ""rich asset for individuals and societies",1
promotion and maintenance of cultural diversity are an essential requirement for sustainable development,1
diversity brings progress and social cohesion,1
cultural diversity is as necessary for humankind as biodiversity is for the nature,1
it is the common heritage of humanity,1
Gambling is also a major international commercial activity,1
Catholic and Jewish traditions have even set aside days for gambling,1
religious authorities generally disapprove of gambling,1
there is no moral impediment to gambling,1
most legal jurisdictions limit gambling,1
"Many jurisdictions, local as well as national, either ban gambling or heavily control it by licensing",1
regulation generally leads to gambling tourism and illegal gambling,1
legal gambling provides significant government revenue,1
"high-payoffs have very low probability, a house bias can quite easily be missed",1
Betting on team sports has become an important service industry in many countries,1
many people participate in gambling as a form of recreation or even as a means to gain an income,1
"gambling, like any behavior which involves variation in brain chemistry, can become a psychologically addictive and harmful behavior",1
gamblers persist in gambling even after repeated losses,1
Pathological gambling is a common disorder that is associated with social costs,1
"leads to adverse consequences for the gambler, others, or for the community",1
pathological gambling is an addiction similar to chemical addiction,1
"Problem gamblers have the erroneous belief that if they keep playing, they will eventually win",1
Pathological gambling is similar to many other impulse control disorders,1
As debts build up people turn to other sources of money such as theft,1
Compulsive gambling is often very detrimental to personal relationships,1
Abuse is also common in homes where pathological gambling is present,1
Problem gambling is often associated with increased suicidal ideation,1
problem gambling increases the lifetime risk of suicide,1
"it leads to increased political corruption, compulsive gambling and higher crime rates",1
gambling is a type of regressive tax on the individuals,1
nearly all the western states' governments outlawed gambling,1
the majority of the states run some type of lottery to raise funds for state operations,1
the social and economic consequences of casino gambling outweigh the initial revenue that may be generated,1
gambling in some form or another has been seen in almost every society in history,1
Most games played have mathematically-determined odds that ensure the house has at all times an advantage over the players,1
the modern day slot machine is addictive,1
"Given the large amounts of currency handled within a casino, both patrons and staff may be tempted to cheat and steal",1
One area of controversy surrounding casinos is their relationship to crime rates,1
a positive relationship between casinos and crime,1
Internet gambling has become one of the most popular and lucrative business present on the Internet,1
"Gambling is now a diverse, vibrant and innovative industry",1
a popular leisure activity enjoyed in many forms by millions of people,1
Various forms of online gambling are legal and regulated in many countries,1
the high-speed instant gratification of Internet games and the high level of privacy they offer may exacerbate problem and pathological gambling,1
electronic funds transfers inherent in online gambling are being exploited by criminal interests,1
The lotteries proved very popular and were hailed as a painless form of taxation,1
There can be some problems associated with winning a lottery jackpot,1
Winners sometimes feel anomie from the dramatic change of lifestyles,1
lotteries facilitate a higher degree of inequality than a society should have,1
any social system that allocates resources based on chance is one that is corrupt,1
"any form of gambling, is susceptible to fraud",1
"profits from the venture go to the charity or group of charities, rather than to a municipality or private casino",1
problem gambling has been shown to cause dysfunctional families,1
Internet gambling is a growing problem for banks and credit card companies,1
regulation of online gambling is a better alternative,1
internet gambling as a legitimate activity that citizens have the right to engage in,1
"As a result of gambling, some are driven to extreme lengths to cover debt",1
addicted gamblers spend most of their energy following their addiction,1
They cost companies loss of productivity and profit,1
Gamblers themselves may suffer from depression and bankruptcy,1
The social costs to society are varied,1
Gambling provides jobs,1
gambling increases aggregate demand for goods and services in the economy,1
money goes directly towards stimulating the economy,1
it is economically beneficial for a state to allow and support gambling institutions,1
Everyone has the right to seek and to enjoy in other countries asylum from persecution,1
countries must be prepared to allow Open borders for people fleeing conflict,1
refugees have much to bring to the countries in which they are resettled in terms of culture and labor,1
"Frequently, these countries of asylum are some of the world’s poorest nations and cannot handle the large influx of persons",1
Refugee populations consist of people who are terrified and are away from familiar surroundings,1
Only a fraction of all the illegal immigrants is actually eligible for this status,1
In some of the illegal immigrants' countries of origin humanitarian hardship exists,1
they may serve as informants or as operatives of hostile states or terrorist organizations,1
they are contributing to the congestion in the cities and to the rise in crime,1
failing to stop the illegal immigration waves at an early stage will only lead to much larger waves of illegal immigration in the future,1
application for asylum could be denied regardless of the legitimacy of their claim,1
refugees (legally defined to be people who are persecuted in their original country and then enter another country seeking safety) should be exempted from immigration laws,1
the freedom of movement both within and between countries is a basic human right,1
repression and intolerance against immigrants will not solve the problems caused by the economic crisis,1
"political refugees, may be fleeing for their lives",1
The plight of the boat people became an international humanitarian crisis,1
prohibition of forcible return is part of customary international law,1
social and political issues surrounding the issue of immigration,1
asylum seekers were motivated by the availability of benefits,1
migration provided a positive resource for the economy,1
the opposition to high levels of immigration by refugees is based on racism,1
the groups are considered hostile or alien to the natural culture,1
the immigrants will distort or spoil existing cultural values,1
"Acquire jobs which would have otherwise been available to native citizens, suppressing wages",1
Damage a sense of community and nationality,1
May overpopulate countries,1
Can swamp a native population and replace its culture with their own,1
"immigrants can ""swamp"" a local population",1
immigrants are thought to compete with employees who are already in the country,1
immigration threatens national identity,1
freedom of movement is often recognized as a civil right,1
"everyone has the right to leave or enter a country, along with movement within it",1
"everyone has the right to leave any country, including his own, and to return to his country",1
the freedom of movement both within and between countries is a basic human right,1
everyone has the right to seek and to enjoy in other countries asylum from persecution,1
immigrants have high rates of criminality,1
everyone can exercise the right to seek asylum and find safe refuge in another state,1
The system of monarchy since antiquity has contrasted with forms of democracy,1
The monarch serves as a ceremonial figurehead symbol of national unity and state continuity,1
"a morally-based, balanced monarchy is stressed as the ideal form of government",1
republicanism is the next logical step toward a fully democratic constitution,1
monarchy is unfair and elitist,1
in a modern and democratic society no one should be expected to defer to another simply because of his birth,1
it encourages attitudes which are more suited to a bygone age of imperialism,1
maintaining a privileged royal family diminishes a society,1
encourages a feeling of dependency in many people who should instead have confidence in themselves and their fellow citizens,1
"the people', not the members of one family, should be sovereign",1
Monarchy contradicts democracy,1
it should be a fundamental right of the people of any nation to elect their head of state and for every citizen to be eligible to hold that office,1
Monarchical prerogative powers can be used to circumvent normal democratic process with no accountability,1
Monarchy is ethnic-discrimination,1
Monarchy is gender-discriminative,1
A monarchy demands deference,1
It is the enemy of merit and aspiration,1
It devalues intellect and achievement,1
It harms the monarchs themselves,1
a hereditary system condemns each heir to the throne to an abnormal childhood,1
lack accountability,1
monarchs are not impartial,1
monarchs are not accountable,1
monarchy is expensive,1
it is archaic,1
Provides a safeguard against government instability,1
Safeguards the constitutional rights of the individual,1
Provides an impartial arbiter,1
can act as an effective intermediary between various levels of government and political parties,1
the Crown is a guarantor against the misuse of constitutional power by politicians,1
Provides a focal point for unity and tradition,1
can provide a focus for national unity,1
Provides continuity and stability,1
having a long serving monarch would increase the sense of duty and continued stability of a nation,1
monarchy is an impetus for significantly greater national income from tourism,1
the monarchy had worked well,1
the monarchy is an outdated and regressive institution,1
royals were simply celebrities who should not have any formal role,1
constitutional monarchy was outdated,1
The hereditary nature of the monarchy is said to conflict with egalitarianism and dislike of inherited privilege,1
The laws of succession are held by some to be sexist,1
monarch may have strictly ceremonial duties,1
serves the traditional role of embodying and representing the nation,1
a source of checks and balances against elected politicians who might seek powers in excess of those conferred by their respective constitutions,1
a check against possible illegal action by politicians,1
the monarchy is inherently contrary to egalitarianism and multiculturalism,1
national pride is diminished by the monarchy,1
monarchies are unfashionable,1
people are given greater dignity from choosing their head of state,1
hereditary succession was outdated,1
the country's head of state should be elected,1
"monarchy as ""outdated and irrelevant",1
The monarchy remains a symbol of imperialism and colonialism,1
The monarch is immune from criminal prosecution,1
"a republic is ""inevitable",1
social traditions or hierarchies that are essential for social order,1
it strengthens popular liberty,1
The principal advantage of hereditary monarchy is the immediate continuity of leadership,1
monarchs ruled with the intent of improving the lives of their subjects,1
the sovereign knew the interests of his subjects better than they themselves,1
the monarch cannot be prosecuted for criminal offences,1
The right to collectively bargain is recognized through international human rights conventions,1
"the ""freedom of association and the effective recognition of the right to collective bargaining"" as an essential right of workers",1
collective bargaining as a human right,1
The right to bargain collectively with an employer enhances the human dignity,1
it] is intrinsically valuable as an experience in self-government,1
Collective bargaining permits workers to achieve a form of workplace democracy,1
